[2025-12-15T23:00:11.738+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-15T23:00:11.811+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T22:55:00+00:00 [queued]>
[2025-12-15T23:00:11.829+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T22:55:00+00:00 [queued]>
[2025-12-15T23:00:11.830+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2025-12-15T23:00:11.857+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_into_snowflake> on 2025-12-15 22:55:00+00:00
[2025-12-15T23:00:11.877+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=96220) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-15T23:00:11.880+0000] {standard_task_runner.py:64} INFO - Started process 96231 to run task
[2025-12-15T23:00:11.878+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_into_snowflake', 'scheduled__2025-12-15T22:55:00+00:00', '--job-id', '285', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp__p11ueh']
[2025-12-15T23:00:11.883+0000] {standard_task_runner.py:91} INFO - Job 285: Subtask load_into_snowflake
[2025-12-15T23:00:12.032+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T22:55:00+00:00 [running]> on host 4abec113d47e
[2025-12-15T23:00:12.262+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_into_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-15T22:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-15T22:55:00+00:00'
[2025-12-15T23:00:12.264+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-15T23:00:12.341+0000] {logging_mixin.py:188} INFO - Received 265 files from previous task.
[2025-12-15T23:00:12.342+0000] {logging_mixin.py:188} INFO - Cnnecting to Snowflake...
[2025-12-15T23:00:12.343+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-15T23:00:12.345+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-12-15T23:00:13.470+0000] {logging_mixin.py:188} INFO - Connected to Snowflake.
[2025-12-15T23:00:14.741+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765699149.json
[2025-12-15T23:00:15.476+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765700319.json
[2025-12-15T23:00:16.222+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765700445.json
[2025-12-15T23:00:16.971+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765700570.json
[2025-12-15T23:00:17.710+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765700695.json
[2025-12-15T23:00:18.460+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765700820.json
[2025-12-15T23:00:19.218+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765700944.json
[2025-12-15T23:00:19.923+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765701068.json
[2025-12-15T23:00:20.700+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765701195.json
[2025-12-15T23:00:21.408+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765701319.json
