[2025-12-15T20:00:03.942+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-15T20:00:04.110+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_from_minio scheduled__2025-12-15T19:55:00+00:00 [queued]>
[2025-12-15T20:00:04.139+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_from_minio scheduled__2025-12-15T19:55:00+00:00 [queued]>
[2025-12-15T20:00:04.142+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2025-12-15T20:00:04.196+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_from_minio> on 2025-12-15 19:55:00+00:00
[2025-12-15T20:00:04.231+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=59818) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-15T20:00:04.228+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_from_minio', 'scheduled__2025-12-15T19:55:00+00:00', '--job-id', '212', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp9b402aii']
[2025-12-15T20:00:04.235+0000] {standard_task_runner.py:64} INFO - Started process 59821 to run task
[2025-12-15T20:00:04.236+0000] {standard_task_runner.py:91} INFO - Job 212: Subtask download_from_minio
[2025-12-15T20:00:04.516+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_from_minio scheduled__2025-12-15T19:55:00+00:00 [running]> on host 4abec113d47e
[2025-12-15T20:00:04.736+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_from_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-15T19:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-15T19:55:00+00:00'
[2025-12-15T20:00:04.738+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-15T20:00:05.155+0000] {logging_mixin.py:188} INFO - Found 265 files in the bucket.
[2025-12-15T20:00:05.177+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765699149.json to /tmp/minio_data/1765699149.json
[2025-12-15T20:00:05.190+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700319.json to /tmp/minio_data/1765700319.json
[2025-12-15T20:00:05.211+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700445.json to /tmp/minio_data/1765700445.json
[2025-12-15T20:00:05.228+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700570.json to /tmp/minio_data/1765700570.json
[2025-12-15T20:00:05.255+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700695.json to /tmp/minio_data/1765700695.json
