[2025-12-15T11:45:10.433+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-15T11:45:10.808+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_from_minio scheduled__2025-12-15T11:40:00+00:00 [queued]>
[2025-12-15T11:45:10.864+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_from_minio scheduled__2025-12-15T11:40:00+00:00 [queued]>
[2025-12-15T11:45:10.873+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2025-12-15T11:45:10.981+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_from_minio> on 2025-12-15 11:40:00+00:00
[2025-12-15T11:45:11.365+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=12050) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-15T11:45:11.379+0000] {standard_task_runner.py:64} INFO - Started process 12062 to run task
[2025-12-15T11:45:11.214+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_from_minio', 'scheduled__2025-12-15T11:40:00+00:00', '--job-id', '48', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpruau7yjz']
[2025-12-15T11:45:11.405+0000] {standard_task_runner.py:91} INFO - Job 48: Subtask download_from_minio
[2025-12-15T11:45:11.819+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_from_minio scheduled__2025-12-15T11:40:00+00:00 [running]> on host 4abec113d47e
[2025-12-15T11:45:12.650+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_from_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-15T11:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-15T11:40:00+00:00'
[2025-12-15T11:45:12.655+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-15T11:45:16.072+0000] {logging_mixin.py:188} INFO - Found 265 files in the bucket.
[2025-12-15T11:45:16.260+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765699149.json to /tmp/minio_data/1765699149.json
[2025-12-15T11:45:16.339+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700319.json to /tmp/minio_data/1765700319.json
[2025-12-15T11:45:16.407+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700445.json to /tmp/minio_data/1765700445.json
[2025-12-15T11:45:16.608+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700570.json to /tmp/minio_data/1765700570.json
[2025-12-15T11:45:16.670+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700695.json to /tmp/minio_data/1765700695.json
[2025-12-15T11:45:16.761+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700820.json to /tmp/minio_data/1765700820.json
[2025-12-15T11:45:16.818+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700944.json to /tmp/minio_data/1765700944.json
[2025-12-15T11:45:16.928+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701068.json to /tmp/minio_data/1765701068.json
[2025-12-15T11:45:17.116+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701195.json to /tmp/minio_data/1765701195.json
[2025-12-15T11:45:17.377+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701319.json to /tmp/minio_data/1765701319.json
[2025-12-15T11:45:17.447+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701444.json to /tmp/minio_data/1765701444.json
[2025-12-15T11:45:17.543+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701569.json to /tmp/minio_data/1765701569.json
[2025-12-15T11:45:17.719+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701708.json to /tmp/minio_data/1765701708.json
[2025-12-15T11:45:18.061+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701834.json to /tmp/minio_data/1765701834.json
[2025-12-15T11:45:18.266+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701960.json to /tmp/minio_data/1765701960.json
[2025-12-15T11:45:18.431+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702086.json to /tmp/minio_data/1765702086.json
[2025-12-15T11:45:18.620+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702212.json to /tmp/minio_data/1765702212.json
[2025-12-15T11:45:19.059+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702339.json to /tmp/minio_data/1765702339.json
[2025-12-15T11:45:19.318+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702464.json to /tmp/minio_data/1765702464.json
[2025-12-15T11:45:19.580+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702590.json to /tmp/minio_data/1765702590.json
[2025-12-15T11:45:19.752+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702715.json to /tmp/minio_data/1765702715.json
[2025-12-15T11:45:19.943+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702840.json to /tmp/minio_data/1765702840.json
[2025-12-15T11:45:20.271+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702967.json to /tmp/minio_data/1765702967.json
[2025-12-15T11:45:20.451+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703092.json to /tmp/minio_data/1765703092.json
[2025-12-15T11:45:20.730+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703217.json to /tmp/minio_data/1765703217.json
[2025-12-15T11:45:21.324+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703342.json to /tmp/minio_data/1765703342.json
[2025-12-15T11:45:21.700+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703468.json to /tmp/minio_data/1765703468.json
[2025-12-15T11:45:22.105+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703593.json to /tmp/minio_data/1765703593.json
[2025-12-15T11:45:22.173+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703717.json to /tmp/minio_data/1765703717.json
[2025-12-15T11:45:22.323+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703841.json to /tmp/minio_data/1765703841.json
[2025-12-15T11:45:22.639+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703966.json to /tmp/minio_data/1765703966.json
[2025-12-15T11:45:22.798+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765704090.json to /tmp/minio_data/1765704090.json
[2025-12-15T11:45:23.031+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765704215.json to /tmp/minio_data/1765704215.json
[2025-12-15T11:45:23.263+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765704339.json to /tmp/minio_data/1765704339.json
[2025-12-15T11:45:23.796+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765704464.json to /tmp/minio_data/1765704464.json
[2025-12-15T11:45:23.972+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765704588.json to /tmp/minio_data/1765704588.json
[2025-12-15T11:45:24.134+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765704712.json to /tmp/minio_data/1765704712.json
[2025-12-15T11:45:24.350+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765704837.json to /tmp/minio_data/1765704837.json
[2025-12-15T11:45:24.513+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765704961.json to /tmp/minio_data/1765704961.json
[2025-12-15T11:45:24.960+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765705086.json to /tmp/minio_data/1765705086.json
[2025-12-15T11:45:25.228+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765705210.json to /tmp/minio_data/1765705210.json
[2025-12-15T11:45:25.357+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765705335.json to /tmp/minio_data/1765705335.json
[2025-12-15T11:45:25.641+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765705459.json to /tmp/minio_data/1765705459.json
[2025-12-15T11:45:25.732+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765705591.json to /tmp/minio_data/1765705591.json
[2025-12-15T11:45:25.876+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765705724.json to /tmp/minio_data/1765705724.json
[2025-12-15T11:45:26.018+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765705856.json to /tmp/minio_data/1765705856.json
[2025-12-15T11:45:26.148+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765706004.json to /tmp/minio_data/1765706004.json
[2025-12-15T11:45:26.224+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765706174.json to /tmp/minio_data/1765706174.json
[2025-12-15T11:45:26.363+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765706317.json to /tmp/minio_data/1765706317.json
[2025-12-15T11:45:26.427+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765706443.json to /tmp/minio_data/1765706443.json
[2025-12-15T11:45:26.473+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765706568.json to /tmp/minio_data/1765706568.json
[2025-12-15T11:45:26.550+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765706694.json to /tmp/minio_data/1765706694.json
[2025-12-15T11:45:26.625+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765706820.json to /tmp/minio_data/1765706820.json
[2025-12-15T11:45:26.713+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765699206.json to /tmp/minio_data/1765699206.json
[2025-12-15T11:45:26.767+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765700358.json to /tmp/minio_data/1765700358.json
[2025-12-15T11:45:26.859+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765700483.json to /tmp/minio_data/1765700483.json
[2025-12-15T11:45:26.907+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765700609.json to /tmp/minio_data/1765700609.json
[2025-12-15T11:45:26.961+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765700734.json to /tmp/minio_data/1765700734.json
[2025-12-15T11:45:27.018+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765700858.json to /tmp/minio_data/1765700858.json
[2025-12-15T11:45:27.078+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765700983.json to /tmp/minio_data/1765700983.json
[2025-12-15T11:45:27.117+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765701108.json to /tmp/minio_data/1765701108.json
[2025-12-15T11:45:27.190+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765701234.json to /tmp/minio_data/1765701234.json
[2025-12-15T11:45:27.248+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765701359.json to /tmp/minio_data/1765701359.json
[2025-12-15T11:45:27.328+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765701483.json to /tmp/minio_data/1765701483.json
[2025-12-15T11:45:27.424+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765701607.json to /tmp/minio_data/1765701607.json
[2025-12-15T11:45:27.644+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765701748.json to /tmp/minio_data/1765701748.json
[2025-12-15T11:45:27.901+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765701874.json to /tmp/minio_data/1765701874.json
[2025-12-15T11:45:28.113+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765701999.json to /tmp/minio_data/1765701999.json
[2025-12-15T11:45:28.178+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765702125.json to /tmp/minio_data/1765702125.json
[2025-12-15T11:45:28.238+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765702252.json to /tmp/minio_data/1765702252.json
[2025-12-15T11:45:28.290+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765702378.json to /tmp/minio_data/1765702378.json
[2025-12-15T11:45:28.369+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765702503.json to /tmp/minio_data/1765702503.json
[2025-12-15T11:45:28.464+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765702628.json to /tmp/minio_data/1765702628.json
[2025-12-15T11:45:28.509+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765702754.json to /tmp/minio_data/1765702754.json
[2025-12-15T11:45:28.568+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765702880.json to /tmp/minio_data/1765702880.json
[2025-12-15T11:45:28.636+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765703006.json to /tmp/minio_data/1765703006.json
[2025-12-15T11:45:28.797+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765703131.json to /tmp/minio_data/1765703131.json
[2025-12-15T11:45:28.930+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765703256.json to /tmp/minio_data/1765703256.json
[2025-12-15T11:45:29.015+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765703381.json to /tmp/minio_data/1765703381.json
[2025-12-15T11:45:29.113+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765703507.json to /tmp/minio_data/1765703507.json
[2025-12-15T11:45:29.321+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765703631.json to /tmp/minio_data/1765703631.json
[2025-12-15T11:45:29.433+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765703756.json to /tmp/minio_data/1765703756.json
[2025-12-15T11:45:29.509+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765703880.json to /tmp/minio_data/1765703880.json
[2025-12-15T11:45:29.562+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765704004.json to /tmp/minio_data/1765704004.json
[2025-12-15T11:45:29.642+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765704129.json to /tmp/minio_data/1765704129.json
[2025-12-15T11:45:29.731+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765704254.json to /tmp/minio_data/1765704254.json
[2025-12-15T11:45:29.803+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765704377.json to /tmp/minio_data/1765704377.json
[2025-12-15T11:45:29.866+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765704502.json to /tmp/minio_data/1765704502.json
[2025-12-15T11:45:29.952+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765704627.json to /tmp/minio_data/1765704627.json
[2025-12-15T11:45:29.995+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765704751.json to /tmp/minio_data/1765704751.json
[2025-12-15T11:45:30.040+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765704875.json to /tmp/minio_data/1765704875.json
[2025-12-15T11:45:30.143+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765705000.json to /tmp/minio_data/1765705000.json
[2025-12-15T11:45:30.232+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765705125.json to /tmp/minio_data/1765705125.json
[2025-12-15T11:45:30.283+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765705249.json to /tmp/minio_data/1765705249.json
[2025-12-15T11:45:30.344+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765705373.json to /tmp/minio_data/1765705373.json
[2025-12-15T11:45:30.469+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765705504.json to /tmp/minio_data/1765705504.json
[2025-12-15T11:45:30.535+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765705636.json to /tmp/minio_data/1765705636.json
[2025-12-15T11:45:30.601+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765705768.json to /tmp/minio_data/1765705768.json
[2025-12-15T11:45:30.680+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765705902.json to /tmp/minio_data/1765705902.json
[2025-12-15T11:45:30.755+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765706078.json to /tmp/minio_data/1765706078.json
[2025-12-15T11:45:30.869+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765706228.json to /tmp/minio_data/1765706228.json
[2025-12-15T11:45:31.060+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765706357.json to /tmp/minio_data/1765706357.json
[2025-12-15T11:45:31.343+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765706482.json to /tmp/minio_data/1765706482.json
[2025-12-15T11:45:31.539+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765706607.json to /tmp/minio_data/1765706607.json
[2025-12-15T11:45:31.726+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765706733.json to /tmp/minio_data/1765706733.json
[2025-12-15T11:45:31.914+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1765706859.json to /tmp/minio_data/1765706859.json
[2025-12-15T11:45:31.992+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1765699167.json to /tmp/minio_data/1765699167.json
