[2025-12-15T09:31:09.165+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-15T09:31:09.816+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_from_minio scheduled__2025-12-14T18:05:00+00:00 [queued]>
[2025-12-15T09:31:09.995+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_from_minio scheduled__2025-12-14T18:05:00+00:00 [queued]>
[2025-12-15T09:31:10.000+0000] {taskinstance.py:2306} INFO - Starting attempt 3 of 3
[2025-12-15T09:31:10.106+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_from_minio> on 2025-12-14 18:05:00+00:00
[2025-12-15T09:31:10.285+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_from_minio', 'scheduled__2025-12-14T18:05:00+00:00', '--job-id', '24', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp6w9lgsim']
[2025-12-15T09:31:10.368+0000] {standard_task_runner.py:91} INFO - Job 24: Subtask download_from_minio
[2025-12-15T09:31:10.380+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=974) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-15T09:31:10.385+0000] {standard_task_runner.py:64} INFO - Started process 1131 to run task
[2025-12-15T09:31:11.207+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_from_minio scheduled__2025-12-14T18:05:00+00:00 [running]> on host 4abec113d47e
[2025-12-15T09:31:12.008+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_from_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-14T18:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-14T18:05:00+00:00'
[2025-12-15T09:31:12.014+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-15T09:31:14.260+0000] {logging_mixin.py:188} INFO - Found 265 files in the bucket.
[2025-12-15T09:31:14.382+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765699149.json to /tmp/minio_data/1765699149.json
[2025-12-15T09:31:14.444+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700319.json to /tmp/minio_data/1765700319.json
[2025-12-15T09:31:14.503+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700445.json to /tmp/minio_data/1765700445.json
[2025-12-15T09:31:14.543+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700570.json to /tmp/minio_data/1765700570.json
[2025-12-15T09:31:14.652+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700695.json to /tmp/minio_data/1765700695.json
[2025-12-15T09:31:14.715+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700820.json to /tmp/minio_data/1765700820.json
[2025-12-15T09:31:14.757+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765700944.json to /tmp/minio_data/1765700944.json
[2025-12-15T09:31:14.783+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701068.json to /tmp/minio_data/1765701068.json
[2025-12-15T09:31:14.856+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701195.json to /tmp/minio_data/1765701195.json
[2025-12-15T09:31:14.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701319.json to /tmp/minio_data/1765701319.json
[2025-12-15T09:31:15.053+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701444.json to /tmp/minio_data/1765701444.json
[2025-12-15T09:31:15.107+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701569.json to /tmp/minio_data/1765701569.json
[2025-12-15T09:31:15.152+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701708.json to /tmp/minio_data/1765701708.json
[2025-12-15T09:31:15.231+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701834.json to /tmp/minio_data/1765701834.json
[2025-12-15T09:31:15.300+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765701960.json to /tmp/minio_data/1765701960.json
[2025-12-15T09:31:15.386+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702086.json to /tmp/minio_data/1765702086.json
[2025-12-15T09:31:15.454+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702212.json to /tmp/minio_data/1765702212.json
[2025-12-15T09:31:15.540+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702339.json to /tmp/minio_data/1765702339.json
[2025-12-15T09:31:15.606+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702464.json to /tmp/minio_data/1765702464.json
[2025-12-15T09:31:15.761+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702590.json to /tmp/minio_data/1765702590.json
[2025-12-15T09:31:15.847+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702715.json to /tmp/minio_data/1765702715.json
[2025-12-15T09:31:15.937+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702840.json to /tmp/minio_data/1765702840.json
[2025-12-15T09:31:16.064+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765702967.json to /tmp/minio_data/1765702967.json
[2025-12-15T09:31:16.117+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703092.json to /tmp/minio_data/1765703092.json
[2025-12-15T09:31:16.184+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703217.json to /tmp/minio_data/1765703217.json
[2025-12-15T09:31:16.220+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703342.json to /tmp/minio_data/1765703342.json
[2025-12-15T09:31:16.257+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703468.json to /tmp/minio_data/1765703468.json
[2025-12-15T09:31:16.326+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703593.json to /tmp/minio_data/1765703593.json
[2025-12-15T09:31:16.382+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703717.json to /tmp/minio_data/1765703717.json
[2025-12-15T09:31:16.531+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703841.json to /tmp/minio_data/1765703841.json
[2025-12-15T09:31:16.574+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765703966.json to /tmp/minio_data/1765703966.json
[2025-12-15T09:31:16.703+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765704090.json to /tmp/minio_data/1765704090.json
[2025-12-15T09:31:16.821+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1765704215.json to /tmp/minio_data/1765704215.json
