[2025-12-15T14:31:16.152+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-15T14:31:16.794+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T14:25:00+00:00 [queued]>
[2025-12-15T14:31:16.858+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T14:25:00+00:00 [queued]>
[2025-12-15T14:31:16.883+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2025-12-15T14:31:17.083+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_into_snowflake> on 2025-12-15 14:25:00+00:00
[2025-12-15T14:31:17.272+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_into_snowflake', 'scheduled__2025-12-15T14:25:00+00:00', '--job-id', '105', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpnux5i2zj']
[2025-12-15T14:31:17.295+0000] {standard_task_runner.py:91} INFO - Job 105: Subtask load_into_snowflake
[2025-12-15T14:31:17.272+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=3661) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-15T14:31:17.335+0000] {standard_task_runner.py:64} INFO - Started process 3789 to run task
[2025-12-15T14:31:18.111+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T14:25:00+00:00 [running]> on host 4abec113d47e
[2025-12-15T14:31:23.773+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_into_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-15T14:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-15T14:25:00+00:00'
[2025-12-15T14:31:23.825+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-15T14:31:24.367+0000] {logging_mixin.py:188} INFO - Received 265 files from previous task.
[2025-12-15T14:31:24.459+0000] {logging_mixin.py:188} INFO - Cnnecting to Snowflake...
[2025-12-15T14:31:24.514+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-15T14:31:24.863+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-12-15T14:31:29.288+0000] {connectionpool.py:824} WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<snowflake.connector.vendored.urllib3.connection.HTTPSConnection object at 0x726825df6000>: Failed to establish a new connection: [Errno -5] No address associated with hostname')': /session/v1/login-request?request_id=ce93153d-5780-414a-abde-9cca5a5b641c&databaseName=STOCKS_DB&schemaName=COMMON&warehouse=COMPUTE_WH&request_guid=a8024acc-5b81-4984-a92c-ce65d693e0d4
[2025-12-15T14:31:35.942+0000] {logging_mixin.py:188} INFO - Connected to Snowflake.
[2025-12-15T14:31:45.779+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765699149.json
[2025-12-15T14:31:47.253+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765700319.json
[2025-12-15T14:31:48.502+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765700445.json
[2025-12-15T14:31:49.878+0000] {logging_mixin.py:188} INFO - Uploaded file to Snowflake stage: /tmp/minio_data/1765700570.json
