[2025-12-15T15:38:33.931+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-15T15:38:34.279+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T14:35:00+00:00 [queued]>
[2025-12-15T15:38:34.330+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T14:35:00+00:00 [queued]>
[2025-12-15T15:38:34.383+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 3
[2025-12-15T15:38:34.465+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_into_snowflake> on 2025-12-15 14:35:00+00:00
[2025-12-15T15:38:34.520+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=9464) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-15T15:38:34.510+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_into_snowflake', 'scheduled__2025-12-15T14:35:00+00:00', '--job-id', '117', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmprnybej16']
[2025-12-15T15:38:34.547+0000] {standard_task_runner.py:64} INFO - Started process 9507 to run task
[2025-12-15T15:38:34.550+0000] {standard_task_runner.py:91} INFO - Job 117: Subtask load_into_snowflake
[2025-12-15T15:38:35.494+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T14:35:00+00:00 [running]> on host 4abec113d47e
[2025-12-15T15:38:37.784+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_into_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-15T14:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-15T14:35:00+00:00'
[2025-12-15T15:38:37.828+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-15T15:38:39.008+0000] {logging_mixin.py:188} INFO - Received 265 files from previous task.
[2025-12-15T15:38:39.111+0000] {logging_mixin.py:188} INFO - Cnnecting to Snowflake...
